Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP3888,VEGFA-VEGFR2 Signaling Pathway,,-2.6,7.2,4.7,28133,435,36,4,11,5.2,1490|3491|3576|57007,CCN2|CCN1|CXCL8|ACKR3,-0.35,MyList
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-2.6,5.3,4.2,28133,734,36,5,14,5.8,506|3273|3491|3576|64115,ATP5F1B|HRG|CCN1|CXCL8|VSIR,-0.34,MyList
GO Biological Processes,19,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,19_GO:0050789 regulation of biological process,-2.6,11,5.3,28133,208,36,3,8.3,4.6,1490|3491|27018,CCN2|CCN1|BEX3,-0.33,MyList
GO Biological Processes,19,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,19_GO:0023052 signaling,-2.6,5.3,4.2,28133,741,36,5,14,5.8,1490|2250|3273|3730|27006,CCN2|FGF5|HRG|ANOS1|FGF22,-0.33,MyList
GO Biological Processes,19,GO:0070374,positive regulation of ERK1 and ERK2 cascade,19_GO:0048518 positive regulation of biological process,-2.6,11,5.2,28133,214,36,3,8.3,4.6,1490|27202|57007,CCN2|C5AR2|ACKR3,-0.31,MyList
GO Biological Processes,19,GO:0016064,immunoglobulin mediated immune response,19_GO:0002376 immune system process,-2.5,11,5.1,28133,223,36,3,8.3,4.6,721|1235|5819,C4B|CCR6|NECTIN2,-0.26,MyList
GO Biological Processes,19,GO:0001649,osteoblast differentiation,19_GO:0032502 developmental process,-2.5,10,5.1,28133,224,36,3,8.3,4.6,506|3491|8840,ATP5F1B|CCN1|CCN4,-0.26,MyList
GO Biological Processes,19,GO:0019724,B cell mediated immunity,19_GO:0002376 immune system process,-2.5,10,5.1,28133,226,36,3,8.3,4.6,721|1235|5819,C4B|CCR6|NECTIN2,-0.25,MyList
GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-2.5,6.6,4.4,28133,474,36,4,11,5.2,721|5819|27202|163702,C4B|NECTIN2|C5AR2|IFNLR1,-0.25,MyList
GO Biological Processes,19,GO:0001667,ameboidal-type cell migration,19_GO:0040011 locomotion,-2.5,6.6,4.4,28133,474,36,4,11,5.2,506|1235|3273|4856,ATP5F1B|CCR6|HRG|CCN3,-0.25,MyList
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-2.5,6.6,4.4,28133,475,36,4,11,5.2,1235|56832|64115|120425,CCR6|IFNK|VSIR|JAML,-0.25,MyList
GO Biological Processes,19,GO:0007160,cell-matrix adhesion,19_GO:0022610 biological adhesion,-2.5,10,5,28133,231,36,3,8.3,4.6,1490|3273|27329,CCN2|HRG|ANGPTL3,-0.24,MyList
GO Biological Processes,19,GO:2000116,regulation of cysteine-type endopeptidase activity,19_GO:0050789 regulation of biological process,-2.5,10,5,28133,233,36,3,8.3,4.6,1490|3491|27018,CCN2|CCN1|BEX3,-0.23,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-2.4,5.9,4.1,28133,526,36,4,11,5.2,1235|8840|56832|64115,CCR6|CCN4|IFNK|VSIR,-0.1,MyList
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-2.4,5.9,4.1,28133,527,36,4,11,5.2,721|4856|8840|27202,C4B|CCN3|CCN4|C5AR2,-0.1,MyList
GO Biological Processes,19,GO:0007281,germ cell development,19_GO:0022414 reproductive process,-2.3,9,4.6,28133,261,36,3,8.3,4.6,1235|5819|25945,CCR6|NECTIN2|NECTIN3,-0.1,MyList
GO Biological Processes,19,GO:0043542,endothelial cell migration,19_GO:0040011 locomotion,-2.3,8.4,4.4,28133,279,36,3,8.3,4.6,506|3273|4856,ATP5F1B|HRG|CCN3,-0.026,MyList
KEGG Pathway,24,hsa05200,Pathways in cancer,,-2.2,5.4,3.8,28133,576,36,4,11,5.2,2250|3576|7484|27006,FGF5|CXCL8|WNT9B|FGF22,0,MyList
GO Biological Processes,19,GO:0010632,regulation of epithelial cell migration,19_GO:0040011 locomotion,-2.2,8,4.3,28133,294,36,3,8.3,4.6,506|1235|3273,ATP5F1B|CCR6|HRG,0,MyList
GO Biological Processes,19,GO:0007162,negative regulation of cell adhesion,19_GO:0022610 biological adhesion,-2.2,7.9,4.3,28133,295,36,3,8.3,4.6,506|3273|64115,ATP5F1B|HRG|VSIR,0,MyList
GO Biological Processes,19,GO:0030336,negative regulation of cell migration,19_GO:0040011 locomotion,-2.1,7.1,4,28133,330,36,3,8.3,4.6,3273|4856|27202,HRG|CCN3|C5AR2,0,MyList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-2.1,4.9,3.6,28133,636,36,4,11,5.2,1490|3273|5819|64115,CCN2|HRG|NECTIN2|VSIR,0,MyList
GO Biological Processes,19,GO:0006898,receptor-mediated endocytosis,19_GO:0051179 localization,-2,7,3.9,28133,336,36,3,8.3,4.6,3576|57007|117156,CXCL8|ACKR3|SCGB3A2,0,MyList
GO Biological Processes,19,GO:2000146,negative regulation of cell motility,19_GO:0040011 locomotion,-2,6.8,3.9,28133,345,36,3,8.3,4.6,3273|4856|27202,HRG|CCN3|C5AR2,0,MyList
GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-2,4.7,3.5,28133,662,36,4,11,5.2,1490|3273|3491|27018,CCN2|HRG|CCN1|BEX3,0,MyList
